,S_Pedro,S_Santiago,S_Juan,S_Andrés,S_Bartolomé,S_Tiago,S_Isca,S_Tadeo,S_Mateo,S_Felipe,S_Simón,S_Tomás
2020-09-23 14:00:00,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,-1.0
2020-09-23 14:01:00,1.0,1.5,1.5,0.0,-0.5,0.5,-0.5,0.5,-1.5,0.5,-0.5,-0.5
2020-09-23 14:02:00,0.6666666666666666,2.0,2.0,0.0,-1.0,0.0,-0.6666666666666666,0.6666666666666666,-2.0,0.3333333333333333,-1.0,-0.3333333333333333
2020-09-23 14:03:00,0.25,2.25,2.25,0.0,-1.25,-0.25,-0.75,1.0,-2.5,0.0,-1.0,0.0
2020-09-23 14:04:00,-0.2,2.2,2.4,0.0,-1.4,-0.4,-0.6,1.4,-3.0,0.0,-0.8,0.4
2020-09-23 14:05:00,-0.3333333333333333,2.3333333333333335,2.6666666666666665,0.0,-1.6666666666666667,-0.5,-0.3333333333333333,1.8333333333333333,-3.3333333333333335,0.16666666666666666,-0.5,0.6666666666666666
2020-09-23 14:06:00,-0.5714285714285714,2.4285714285714284,2.7142857142857144,0.0,-2.0,-0.7142857142857143,-0.14285714285714285,2.0,-3.4285714285714284,0.14285714285714285,-0.42857142857142855,0.7142857142857143
2020-09-23 14:07:00,-0.875,2.625,2.875,-0.125,-2.25,-0.75,-0.125,2.125,-3.5,0.125,-0.25,0.875
2020-09-23 14:08:00,-1.0,2.7777777777777777,3.0,-0.2222222222222222,-2.5555555555555554,-0.8888888888888888,-0.1111111111111111,2.2222222222222223,-3.6666666666666665,0.1111111111111111,0.0,1.0
2020-09-23 14:09:00,-1.1,2.8,3.0,-0.2,-2.8,-1.0,0.0,2.2,-3.7,0.1,0.1,1.2
2020-09-23 14:10:00,-1.1818181818181819,2.909090909090909,2.909090909090909,-0.18181818181818182,-3.090909090909091,-1.1818181818181819,0.18181818181818182,2.1818181818181817,-3.8181818181818183,0.18181818181818182,0.18181818181818182,1.3636363636363635
2020-09-23 14:11:00,-1.1666666666666667,3.0833333333333335,2.75,-0.08333333333333333,-3.25,-1.4166666666666667,0.25,2.0833333333333335,-3.9166666666666665,0.3333333333333333,0.25,1.5833333333333333
2020-09-23 14:12:00,-1.1538461538461537,3.1538461538461537,2.5384615384615383,-0.07692307692307693,-3.4615384615384617,-1.5384615384615385,0.23076923076923078,1.9230769230769231,-4.0,0.5384615384615384,0.38461538461538464,1.8461538461538463
2020-09-23 14:13:00,-1.0714285714285714,3.2142857142857144,2.4285714285714284,-0.07142857142857142,-3.7142857142857144,-1.6428571428571428,0.21428571428571427,1.8571428571428572,-4.142857142857143,0.6428571428571429,0.42857142857142855,2.142857142857143
2020-09-23 14:14:00,-1.0,3.2666666666666666,2.3333333333333335,-0.06666666666666667,-3.8666666666666667,-1.6666666666666667,0.26666666666666666,1.7333333333333334,-4.266666666666667,0.6666666666666666,0.5333333333333333,2.466666666666667
2020-09-23 14:15:00,-0.9375,3.375,2.3125,-0.125,-4.0,-1.75,0.375,1.625,-4.4375,0.75,0.5625,2.75
2020-09-23 14:16:00,-0.8823529411764706,3.411764705882353,2.235294117647059,-0.17647058823529413,-4.117647058823529,-1.8823529411764706,0.5294117647058824,1.4705882352941178,-4.588235294117647,0.7647058823529411,0.6470588235294118,3.0
2020-09-23 14:17:00,-0.8888888888888888,3.5,2.111111111111111,-0.2222222222222222,-4.277777777777778,-2.0,0.7222222222222222,1.3888888888888888,-4.722222222222222,0.8333333333333334,0.7777777777777778,3.2222222222222223
2020-09-23 14:18:00,-0.9473684210526315,3.5789473684210527,2.0526315789473686,-0.21052631578947367,-4.368421052631579,-2.1578947368421053,0.8421052631578947,1.263157894736842,-4.7894736842105265,0.8421052631578947,0.8421052631578947,3.4210526315789473
2020-09-23 14:19:00,-1.05,3.7,2.05,-0.25,-4.4,-2.35,0.95,1.2,-4.85,0.8,0.85,3.55
2020-09-23 14:20:00,-1.1904761904761905,3.761904761904762,2.0952380952380953,-0.3333333333333333,-4.428571428571429,-2.4761904761904763,1.0,1.1904761904761905,-4.857142857142857,0.7619047619047619,0.8095238095238095,3.619047619047619
2020-09-23 14:21:00,-1.2727272727272727,3.8636363636363638,2.090909090909091,-0.45454545454545453,-4.5,-2.5454545454545454,1.0454545454545454,1.1363636363636365,-4.863636363636363,0.7272727272727273,0.7727272727272727,3.6363636363636362
2020-09-23 14:22:00,-1.3043478260869565,3.9565217391304346,2.0434782608695654,-0.6086956521739131,-4.565217391304348,-2.608695652173913,1.1304347826086956,1.1304347826086956,-4.869565217391305,0.7391304347826086,0.7391304347826086,3.608695652173913
